Date,Open,High,Low,Close,Adj Close,Volume
2020-10-19,0.093000,0.095000,0.083000,0.083000,0.083000,0
2020-10-26,0.083000,0.090000,0.080000,0.083000,0.083000,0
2020-11-02,0.083000,0.090000,0.080000,0.083000,0.083000,0
2020-11-09,0.085000,0.095000,0.083000,0.083000,0.083000,0
2020-11-16,0.085000,0.085000,0.048000,0.058000,0.058000,0
2020-11-23,0.060000,0.085000,0.060000,0.073000,0.073000,0
2020-11-30,0.075000,0.083000,0.073000,0.075000,0.075000,0
2020-12-07,0.075000,0.078000,0.065000,0.065000,0.065000,0
2020-12-14,0.070000,0.083000,0.060000,0.080000,0.080000,0
2020-12-21,0.080000,0.085000,0.073000,0.075000,0.075000,0
2020-12-28,0.078000,0.090000,0.060000,0.065000,0.065000,0
2021-01-04,0.068000,0.083000,0.068000,0.080000,0.080000,0
2021-01-11,0.080000,0.080000,0.075000,0.075000,0.075000,0
2021-01-18,0.073000,0.080000,0.070000,0.070000,0.070000,0
2021-01-25,0.070000,0.073000,0.045000,0.048000,0.048000,0
2021-02-01,0.048000,0.060000,0.018000,0.023000,0.023000,0
2021-02-08,0.023000,0.038000,0.020000,0.035000,0.035000,0
2021-02-15,0.035000,0.035000,0.018000,0.023000,0.023000,0
2021-02-22,0.023000,0.040000,0.023000,0.035000,0.035000,0
2021-03-01,0.030000,0.038000,0.028000,0.028000,0.028000,0
2021-03-08,0.033000,0.040000,0.020000,0.025000,0.025000,0
2021-03-15,0.023000,0.023000,0.003000,0.005000,0.005000,0
2021-03-22,0.005000,0.015000,0.005000,0.015000,0.015000,0
2021-03-29,0.013000,0.015000,0.008000,0.008000,0.008000,0
2021-04-05,0.013000,0.015000,0.003000,0.003000,0.003000,0
2021-04-12,0.005000,0.015000,0.005000,0.008000,0.008000,0
2021-04-19,0.010000,0.018000,0.010000,0.015000,0.015000,0
2021-04-26,0.015000,0.015000,0.003000,0.003000,0.003000,0
2021-05-03,0.003000,0.015000,0.003000,0.008000,0.008000,0
2021-05-10,0.005000,0.010000,0.003000,0.005000,0.005000,0
2021-05-17,0.005000,0.010000,0.003000,0.003000,0.003000,0
2021-05-24,0.003000,0.010000,0.003000,0.008000,0.008000,0
2021-05-31,0.010000,0.018000,0.010000,0.015000,0.015000,0
2021-06-07,0.015000,0.020000,0.015000,0.018000,0.018000,0
2021-06-14,0.018000,0.035000,0.005000,0.028000,0.028000,0
2021-06-21,0.030000,0.043000,0.030000,0.043000,0.043000,0
2021-06-28,0.043000,0.045000,0.038000,0.038000,0.038000,0
2021-07-05,0.040000,0.045000,0.040000,0.043000,0.043000,0
2021-07-12,0.043000,0.050000,0.038000,0.038000,0.038000,0
2021-07-19,0.038000,0.045000,0.035000,0.045000,0.045000,0
2021-07-26,0.040000,0.045000,0.040000,0.040000,0.040000,0
