Rank,Name,Ticker,Market cap,Price,Circulating supply
81,Conflux,CFX,405996145.27,0.1281,3170343278
82,Curve DAO Token,CRV,396548785.61,0.4595,863006727
83,BitTorrent(New),BTT,393807090.12,4.1e-07,951421714286000
84,Huobi Token,HT,391087197.79,2.4106,162233844
85,Mina,MINA,372934749.7,0.3892,958209410
86,GateToken,GT,370264190.72,3.8552,96041901
87,Terra Classic,LUNC,362280468.02,6.231e-05,5814186257736
88,Trust Wallet Token,TWT,355114903.89,0.8523,416649900
89,Pepe,PEPE,350858313.99,9e-07,391790000000000
90,dYdX,DYDX,345931439.61,2.2139,156256174
91,Nexo,NEXO,331351221.21,0.5917,560000011
92,GMX,GMX,330528242.04,36.84,8972157
93,Compound,COMP,329459056.6,42.17,7812765
94,APENFT,NFT,323755956.11,3.3e-07,990105683025577
95,Flare,FLR,315167300.58,0.01381,22821690780
96,Gemini Dollar,GUSD,310754452.52,0.9983,311274154
97,Bone ShibaSwap,BONE,298563245.47,1.2985,229923351
98,WOO Network,WOO,298296294.48,0.1718,1735855911
99,Dash,DASH,295202045.24,25.83,11429685
100,Astar,ASTR,284781649.76,0.06026,4726001617
101,MX TOKEN,MX,282420148.37,2.8043,100709834
102,PancakeSwap,CAKE,282215446.47,1.2731,221668597
103,Arweave,AR,275118547.98,4.2032,65454185
104,Zilliqa,ZIL,264663048.37,0.01668,15867699447
105,Gnosis,GNO,262997684.94,101.56,2589588
106,Oasis Network,ROSE,263107613.85,0.04022,6542267493
107,Akash Network,AKT,259997030.92,1.1953,217511805
108,SafePal,SFP,258268591.12,0.5165,500000000
109,Basic Attention Token,BAT,258293739.81,0.1734,1489950992
110,1inch Network,1INCH,255172575.6,0.2476,1030495516
111,Helium,HNT,249671962.69,1.7346,143934821
112,Chia,XCH,249225950.43,30.04,8296537
113,Enjin Coin,ENJ,241874948.16,0.2419,1000000000
114,Loopring,LRC,240209863.14,0.1804,1331547705
115,Sei,SEI,237397547.0,0.1319,1800000000
116,Ethereum Name Service,ENS,237324707.66,8.0128,29618123
117,Bitcoin Gold,BTG,234823133.43,13.41,17513924
118,Qtum,QTUM,226945544.44,2.1664,104755842
119,Livepeer,LPT,228535726.38,7.9265,28832006
120,NEM,XEM,225764992.1,0.02508,8999999999
121,Mask Network,MASK,221356045.63,2.6958,82112500
122,Convex Finance,CVX,220634625.85,2.7604,79929554
123,SingularityNET,AGIX,221026814.09,0.1793,1232484306
124,Celo,CELO,216338546.72,0.4255,508448178
125,Theta Fuel,TFUEL,209176163.67,0.03342,6259422179
126,Decred,DCR,205682648.21,13.32,15443300
127,Ankr,ANKR,197967288.25,0.0198,10000000000
128,Ravencoin,RVN,196951016.48,0.01526,12906651290
129,Ocean Protocol,OCEAN,192948214.65,0.3147,613099141
130,yearn.finance,YFI,191953383.57,5809.44,33042
131,Blur,BLUR,186134452.6,0.2123,876751331
132,Osmosis,OSMO,185892344.78,0.3774,492590761
133,JUST,JST,185484211.71,0.02084,8902080000
134,Holo,HOT,183341167.41,0.001066,171989009269
135,STEPN,GMT,183334834.45,0.1668,1099244834
136,Balancer,BAL,181905222.85,3.5115,51802092
137,aelf,ELF,181950068.02,0.2919,623346585
138,Aragon,ANT,172332792.57,4.3051,40029852
139,Fetch.ai,FET,172198130.19,0.2102,819226064
140,Waves,WAVES,171783938.35,1.5293,112331824
141,Golem,GLM,170956624.45,0.171,1000000000
142,FLOKI,FLOKI,166510688.99,1.765e-05,9435130747344
143,Worldcoin,WLD,166433351.97,1.3113,126925416
144,JasmyCoin,JASMY,164520544.9,0.003364,48899999999
145,Threshold,T,164098355.81,0.01832,8956248017
146,Audius,AUDIO,164046090.39,0.1482,1106620023
147,ICON,ICX,163889042.88,0.1697,965656089
148,Kusama,KSM,163422891.48,19.29,8470098
149,Siacoin,SC,160560135.48,0.002923,54924755552
150,Solar,SXP,154030216.83,0.2675,575724095
151,EthereumPoW,ETHW,152922794.78,1.4183,107818999
152,Illuvium,ILV,149927619.36,42.48,3529366
153,Terra,LUNA,149598726.44,0.4163,359322250
154,ssv.network,SSV,148453369.35,14.85,10000000
155,Hive,HIVE,146929360.78,0.2934,500749243
156,0x Protocol,ZRX,145540514.18,0.1717,847496055
157,Moonbeam,GLMR,142641320.82,0.1993,715641107
158,UniBot,UNIBOT,140141890.58,140.14,1000000
159,Ontology,ONT,138973571.13,0.1588,875249524
160,Band Protocol,BAND,138752763.7,1.0403,133382196
161,WAX,WAXP,137764991.78,0.04119,3344836142
162,SushiSwap,SUSHI,136839105.35,0.5923,231013914
163,Harmony,ONE,135792799.72,0.01008,13473928389
164,Biconomy,BICO,135326293.97,0.2091,647110632
165,IOST,IOST,135471267.3,0.007241,18708894189
166,Axelar,AXL,132422020.86,0.3519,376302780
167,IoTeX,IOTX,129705481.51,0.01373,9444924267
168,Merit Circle,MC,129833573.61,0.3049,425759501
169,MAGIC,MAGIC,126764133.02,0.5688,222860854
170,Kadena,KDA,123005257.49,0.5054,243367303
171,TerraClassicUSD,USTC,121892073.41,0.01245,9789269271
172,BORA,BORA,118078731.25,0.1188,993750000
173,Nervos Network,CKB,114513563.68,0.002727,41986524457
174,DigiByte,DGB,113927516.54,0.006921,16461885116
175,Stargate Finance,STG,112800301.29,0.552,204338417
176,DAO Maker,DAO,112024521.93,0.7783,143942531
177,Core,CORE,108054664.16,0.6944,155606393
178,MobileCoin,MOB,105553275.67,0.5405,195286109
179,SKALE,SKL,102996804.92,0.02204,4673852671
180,UMA,UMA,100463722.6,1.3653,73582285
181,Flux,FLUX,99683285.19,0.3145,316989971
182,TomoChain,TOMO,98653658.68,1.0188,96830754
183,Ribbon Finance,RBN,98226045.88,0.1829,537049175
184,Galxe,GAL,96616249.94,1.1381,84890333
185,Horizen,ZEN,95840979.53,6.8172,14058700
186,Everscale,EVER,94216430.98,0.05226,1802684809
187,Lisk,LSK,93031609.92,0.7217,128900445
188,Reserve Rights,RSR,92443456.56,0.001827,50600000000
189,STP,STPT,89772621.08,0.04622,1942420283
190,Alchemy Pay,ACH,91160761.8,0.01366,6672626683
191,Storj,STORJ,90129144.65,0.2335,386005311
192,Cartesi,CTSI,89903983.31,0.1211,742552410
193,Vulcan Forged PYR,PYR,89671198.88,3.2989,27182227
194,Kyber Network Crystal v2,KNC,88909917.68,0.521,170666002
195,PlayDapp,PLA,87027495.02,0.1554,560128667
196,Pundi X (New),PUNDIX,86905789.92,0.3362,258491637
197,Celer Network,CELR,87056392.51,0.01124,7743424107
198,Status,SNT,84656063.61,0.02193,3859423502
199,MiL.k,MLK,82866607.15,0.2716,305155360
200,Amp,AMP,82043775.45,0.001943,42227702186
