Rank,Name,Ticker,Market cap,Price,Circulating supply
137,Golem,GLM,206729864.39,0.2067,1000000000
138,yearn.finance,YFI,206138068.19,6240.08,33035
139,ICON,ICX,204007372.09,0.2114,964879468
140,JUST,JST,201046839.73,0.02258,8902080000
141,Livepeer,LPT,205497618.14,7.1629,28689285
142,Kusama,KSM,199635459.61,23.57,8470098
143,JasmyCoin,JASMY,194628562.18,0.003986,48829999999
144,Terra,LUNA,194241790.97,0.5597,347029944
145,Siacoin,SC,191043977.16,0.003482,54863270283
146,Solar,SXP,189573789.82,0.3301,574216096
147,0x Protocol,ZRX,186326900.94,0.2199,847496055
148,EthereumPoW,ETHW,184202348.51,1.7084,107818999
149,aelf,ELF,181568920.25,0.2914,623063302
150,Illuvium,ILV,180850699.06,51.52,3510312
151,Fetch.ai,FET,180198453.66,0.2195,820939976
152,ssv.network,SSV,177203495.92,17.72,10000000
153,Aragon,ANT,175605769.41,4.3869,40029852
154,Hive,HIVE,173128779.89,0.3457,500749243
155,Ontology,ONT,173775117.06,0.1985,875249524
156,MAGIC,MAGIC,171016701.09,0.7694,222276972
157,IoTeX,IOTX,170054120.36,0.018,9445309010
158,SushiSwap,SUSHI,170755169.24,0.7394,230950657
159,UniBot,UNIBOT,168812189.8,168.81,1000000
160,Biconomy,BICO,165661985.29,0.2652,624610465
161,Moonbeam,GLMR,164873438.22,0.2315,712049448
162,WAX,WAXP,163944125.49,0.04912,3337666069
163,IOST,IOST,158398438.04,0.008466,18708894189
164,Band Protocol,BAND,156401646.34,1.1766,132929194
165,Harmony,ONE,153085147.23,0.01138,13457002305
166,TomoChain,TOMO,153328624.14,1.5041,101938914
167,TerraClassicUSD,USTC,145387123.83,0.01485,9790175214
168,Merit Circle,MC,140727167.12,0.3327,423046529
169,BORA,BORA,139109950.86,0.14,993750000
170,Axelar,AXL,139029057.64,0.3861,360052212
171,Nervos Network,CKB,137088895.53,0.003278,41814940857
172,Akash Network,AKT,135744524.68,1.1922,113861304
173,Stargate Finance,STG,133015606.4,0.651,204338417
174,MobileCoin,MOB,131074092.52,0.6712,195286109
175,Core,CORE,131268354.19,0.8575,153090133
176,SKALE,SKL,129567110.61,0.02772,4673852671
177,DigiByte,DGB,129214835.16,0.007864,16430998209
178,Kadena,KDA,129019389.2,0.5319,242551624
179,Flux,FLUX,128922766.22,0.4076,316276616
180,Ribbon Finance,RBN,123988703.38,0.2296,539981123
181,Horizen,ZEN,120651743.75,8.6126,14008731
182,UMA,UMA,118941098.53,1.6225,73307285
183,Kyber Network Crystal v2,KNC,117097423.55,0.6874,170338852
184,DAO Maker,DAO,116502053.15,0.8094,143942531
185,Alchemy Pay,ACH,113764300.07,0.0172,6612502165
186,Cartesi,CTSI,113452576.86,0.1528,742552410
187,Reserve Rights,RSR,112290725.99,0.002219,50600000000
188,Open Campus,EDU,110915630.14,0.5919,187395833
189,Celer Network,CELR,110800674.79,0.01431,7743424107
190,Storj,STORJ,110597928.11,0.2886,383211284
191,Lisk,LSK,108705086.63,0.8433,128900445
192,Everscale,EVER,105527260.27,0.05877,1795476761
193,Centrifuge,CFG,103374470.93,0.2869,360263043
194,Amp,AMP,102733215.24,0.002433,42227702186
195,JOE,JOE,102957996.06,0.306,336436965
196,API3,API3,102678252.2,1.1881,86421978
197,Galxe,GAL,102317932.97,1.2053,84890333
198,Pundi X (New),PUNDIX,99971344.22,0.3867,258491637
199,PlayDapp,PLA,101009779.64,0.1803,560128667
200,Status,SNT,96907027.74,0.02511,3859336580
